0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:28:03 -0300] "GET /PruebaGeo/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:29:12 -0300] "GET /PruebaGeo/Index.html HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:29:12 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:30:04 -0300] "GET /PruebaGeo/Index.html HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:30:04 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:30:56 -0300] "GET /PruebaGeo/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:30:56 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:31:05 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:31:40 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:32:36 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:32:36 -0300] "GET /PruebaGeo/js/jsquery-3.1.0.js HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:32:59 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:32:59 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:33:43 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 1069
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:33:43 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:41:01 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:41:01 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
